variable,attribute,value,index
UWES9_07,3,slightly disagree,1
UWES9_07,4,neither agree nor disagree,1
UWES9_07,5,slightly agree,1
UWES9_07,6,agree,1
UWES9_07,7,strongly agree,1
UWES9_07,comment,Utrecht Work Engagement Scale: I am proud of the work that I do.,1
UWES9_07,class,avector,1
UWES9_07,class,numeric,2
UWES9_08,1,strongly disagree,1
UWES9_08,2,disagree,1
UWES9_08,3,slightly disagree,1
UWES9_08,4,neither agree nor disagree,1
UWES9_08,5,slightly agree,1
UWES9_08,6,agree,1
UWES9_08,7,strongly agree,1
UWES9_08,comment,Utrecht Work Engagement Scale: I am immersed in my work.,1
UWES9_08,class,avector,1
UWES9_08,class,numeric,2
UWES9_09,1,strongly disagree,1
UWES9_09,2,disagree,1
UWES9_09,3,slightly disagree,1
UWES9_09,4,neither agree nor disagree,1
UWES9_09,5,slightly agree,1
UWES9_09,6,agree,1
UWES9_09,7,strongly agree,1
UWES9_09,comment,Utrecht Work Engagement Scale: I get carried away when I am working.,1
UWES9_09,class,avector,1
UWES9_09,class,numeric,2
PAQ_08,1,strongly disagree,1
PAQ_08,2,disagree,1
PAQ_08,3,slightly disagree,1
PAQ_08,4,neither agree nor disagree,1
PAQ_08,5,slightly agree,1
PAQ_08,6,agree,1
PAQ_08,7,strongly agree,1
PAQ_08,comment,"Perth Alexithymia Questionnaire: When I'm feeling bad, I can't make sense of those feelings.",1
PAQ_08,class,avector,1
PAQ_08,class,numeric,2
PAQ_20,1,strongly disagree,1
PAQ_20,2,disagree,1
PAQ_20,3,slightly disagree,1
PAQ_20,4,neither agree nor disagree,1
PAQ_20,5,slightly agree,1
PAQ_20,6,agree,1
PAQ_20,7,strongly agree,1
PAQ_20,comment,"Perth Alexithymia Questionnaire: When I'm feeling bad, I'm puzzled by those feelings.",1
PAQ_20,class,avector,1
PAQ_20,class,numeric,2
PAQ_05,1,strongly disagree,1
PAQ_05,2,disagree,1
PAQ_05,3,slightly disagree,1
PAQ_05,4,neither agree nor disagree,1
PAQ_05,5,slightly agree,1
PAQ_05,6,agree,1
PAQ_05,7,strongly agree,1
PAQ_05,comment,"Perth Alexithymia Questionnaire: When I'm feeling good, I can't tell whether I'm happy, excited, or amused.",1
PAQ_05,class,avector,1
PAQ_05,class,numeric,2
PAQ_17,1,strongly disagree,1
PAQ_17,2,disagree,1
PAQ_17,3,slightly disagree,1
PAQ_17,4,neither agree nor disagree,1
PAQ_17,5,slightly agree,1
PAQ_17,6,agree,1
PAQ_17,7,strongly agree,1
PAQ_17,comment,"Perth Alexithymia Questionnaire: When I'm feeling good, I get confused about what emotion it is.",1
PAQ_17,class,avector,1
PAQ_17,class,numeric,2
PAQ_13,1,strongly disagree,1
PAQ_13,2,disagree,1
PAQ_13,3,slightly disagree,1
PAQ_13,4,neither agree nor disagree,1
PAQ_13,5,slightly agree,1
PAQ_13,6,agree,1
PAQ_13,7,strongly agree,1
PAQ_13,comment,"Perth Alexithymia Questionnaire: When something bad happens, it's hard for me to put into words how I'm feeling.",1
PAQ_13,class,avector,1
PAQ_13,class,numeric,2
PAQ_07,1,strongly disagree,1
PAQ_07,2,disagree,1
PAQ_07,3,slightly disagree,1
PAQ_07,4,neither agree nor disagree,1
PAQ_07,5,slightly agree,1
PAQ_07,6,agree,1
PAQ_07,7,strongly agree,1
PAQ_07,comment,"Perth Alexithymia Questionnaire: When I'm feeling bad, I can't talk about those feelings in much depth or detail.",1
PAQ_07,class,avector,1
PAQ_07,class,numeric,2
PAQ_10,1,strongly disagree,1
PAQ_10,2,disagree,1
PAQ_10,3,slightly disagree,1
PAQ_10,4,neither agree nor disagree,1
PAQ_10,5,slightly agree,1
PAQ_10,6,agree,1
PAQ_10,7,strongly agree,1
PAQ_10,comment,"Perth Alexithymia Questionnaire: When I'm feeling good, I can't talk about those feelings in much depth or detail.",1
PAQ_10,class,avector,1
PAQ_10,class,numeric,2
PAQ_16,1,strongly disagree,1
PAQ_16,2,disagree,1
PAQ_16,3,slightly disagree,1
PAQ_16,4,neither agree nor disagree,1
PAQ_16,5,slightly agree,1
PAQ_16,6,agree,1
PAQ_16,7,strongly agree,1
PAQ_16,comment,"Perth Alexithymia Questionnaire: When something good happens, it's hard for me to put into words how I'm feeling.",1
PAQ_16,class,avector,1
PAQ_16,class,numeric,2
PAQ_03,1,strongly disagree,1
PAQ_03,2,disagree,1
PAQ_03,3,slightly disagree,1
PAQ_03,4,neither agree nor disagree,1
PAQ_03,5,slightly agree,1
PAQ_03,6,agree,1
PAQ_03,7,strongly agree,1
PAQ_03,comment,Perth Alexithymia Questionnaire: I tend to ignore how I feel.,1
PAQ_03,class,avector,1
PAQ_03,class,numeric,2
PAQ_15,1,strongly disagree,1
PAQ_15,2,disagree,1
PAQ_15,3,slightly disagree,1
PAQ_15,4,neither agree nor disagree,1
PAQ_15,5,slightly agree,1
PAQ_15,6,agree,1
PAQ_15,7,strongly agree,1
PAQ_15,comment,"Perth Alexithymia Questionnaire: I prefer to focus on things I can actually see or touch, rather than my emotions.",1
PAQ_15,class,avector,1
PAQ_15,class,numeric,2
IFI_01,1,strongly disagree,1
IFI_01,2,disagree,1
IFI_01,3,slightly disagree,1
IFI_01,4,neither agree nor disagree,1
IFI_01,5,slightly agree,1
IFI_01,6,agree,1
IFI_01,7,strongly agree,1
IFI_01,comment,Perth Alexithymia Questionnaire: I have never cried.,1
IFI_01,class,avector,1
IFI_01,class,numeric,2
PSS_01,1,never,1
PSS_01,2,rarely,1
PSS_01,3,occasionally,1
PSS_01,4,sometimes,1
PSS_01,5,often,1
PSS_01,6,very often,1
PSS_01,7,most of the time,1
PSS_01,comment,"Perceived Stress Scale: In the last month, how often have you been upset because of something that happened unexpectedly?",1
PSS_01,class,avector,1
PSS_01,class,numeric,2
PSS_02,1,never,1
PSS_02,2,rarely,1
PSS_02,3,occasionally,1
PSS_02,4,sometimes,1
PSS_02,5,often,1
PSS_02,6,very often,1
PSS_02,7,most of the time,1
PSS_02,comment,"Perceived Stress Scale: In the last month, how often have you felt that you were unable to control the important things in your life?",1
PSS_02,class,avector,1
PSS_02,class,numeric,2
PSS_03,1,never,1
PSS_03,2,rarely,1
PSS_03,3,occasionally,1
PSS_03,4,sometimes,1
PSS_03,5,often,1
PSS_03,6,very often,1
PSS_03,7,most of the time,1
PSS_03,comment,"Perceived Stress Scale: In the last month, how often have you felt nervous and ""stressed""?",1
PSS_03,class,avector,1
PSS_03,class,numeric,2
PSS_04,1,never,1
PSS_04,2,rarely,1
PSS_04,3,occasionally,1
PSS_04,4,sometimes,1
PSS_04,5,often,1
PSS_04,6,very often,1
PSS_04,7,most of the time,1
PSS_04,comment,"Perceived Stress Scale: In the last month, how often have you dealt successfully with irritating life hassles?",1
PSS_04,class,avector,1
PSS_04,class,numeric,2
PSS_05,1,never,1
PSS_05,2,rarely,1
PSS_05,3,occasionally,1
PSS_05,4,sometimes,1
PSS_05,5,often,1
PSS_05,6,very often,1
PSS_05,7,most of the time,1
PSS_05,comment,"Perceived Stress Scale: In the last month, how often have you felt that you were effectively coping with important changes that were occurring in your life?",1
PSS_05,class,avector,1
PSS_05,class,numeric,2
PSS_06,1,never,1
PSS_06,2,rarely,1
PSS_06,3,occasionally,1
PSS_06,4,sometimes,1
PSS_06,5,often,1
PSS_06,6,very often,1
PSS_06,7,most of the time,1
PSS_06,comment,"Perceived Stress Scale: In the last month, how often have you felt confident about your ability to handle your personal problems?",1
PSS_06,class,avector,1
PSS_06,class,numeric,2
PSS_07,1,never,1
PSS_07,2,rarely,1
PSS_07,3,occasionally,1
PSS_07,4,sometimes,1
PSS_07,5,often,1
PSS_07,6,very often,1
PSS_07,7,most of the time,1
PSS_07,comment,"Perceived Stress Scale: In the last month, how often have you felt that things were going your way?",1
PSS_07,class,avector,1
PSS_07,class,numeric,2
PSS_08,1,never,1
PSS_08,2,rarely,1
PSS_08,3,occasionally,1
PSS_08,4,sometimes,1
PSS_08,5,often,1
PSS_08,6,very often,1
PSS_08,7,most of the time,1
PSS_08,comment,"Perceived Stress Scale: In the last month, how often have you found that you could not cope with all the things that you had to do?",1
PSS_08,class,avector,1
PSS_08,class,numeric,2
PSS_09,1,never,1
PSS_09,2,rarely,1
PSS_09,3,occasionally,1
PSS_09,4,sometimes,1
PSS_09,5,often,1
PSS_09,6,very often,1
PSS_09,7,most of the time,1
PSS_09,comment,"Perceived Stress Scale: In the last month, how often have you been able to control irritations in your life?",1
PSS_09,class,avector,1
PSS_09,class,numeric,2
PSS_10,1,never,1
PSS_10,2,rarely,1
PSS_10,3,occasionally,1
PSS_10,4,sometimes,1
PSS_10,5,often,1
PSS_10,6,very often,1
PSS_10,7,most of the time,1
PSS_10,comment,"Perceived Stress Scale: In the last month, how often have you felt that you were on top of things?",1
PSS_10,class,avector,1
PSS_10,class,numeric,2
PSS_11,1,never,1
PSS_11,2,rarely,1
PSS_11,3,occasionally,1
PSS_11,4,sometimes,1
PSS_11,5,often,1
PSS_11,6,very often,1
PSS_11,7,most of the time,1
PSS_11,comment,"Perceived Stress Scale: In the last month, how often have you been angered because of things that happened that were outside of your control?",1
PSS_11,class,avector,1
PSS_11,class,numeric,2
PSS_12,1,never,1
PSS_12,2,rarely,1
PSS_12,3,occasionally,1
PSS_12,4,sometimes,1
PSS_12,5,often,1
PSS_12,6,very often,1
PSS_12,7,most of the time,1
PSS_12,comment,"Perceived Stress Scale: In the last month, how often have you found yourself thinking about things that you have to accomplish?",1
PSS_12,class,avector,1
PSS_12,class,numeric,2
PSS_13,1,never,1
PSS_13,2,rarely,1
PSS_13,3,occasionally,1
PSS_13,4,sometimes,1
PSS_13,5,often,1
PSS_13,6,very often,1
PSS_13,7,most of the time,1
PSS_13,comment,"Perceived Stress Scale: In the last month, how often have you been able to control the way you spend your time?",1
PSS_13,class,avector,1
PSS_13,class,numeric,2
PSS_14,1,never,1
PSS_14,2,rarely,1
PSS_14,3,occasionally,1
PSS_14,4,sometimes,1
PSS_14,5,often,1
PSS_14,6,very often,1
PSS_14,7,most of the time,1
PSS_14,comment,"Perceived Stress Scale: In the last month, how often have you felt difficulties were piling up so high that you could not overcome them?",1
PSS_14,class,avector,1
PSS_14,class,numeric,2
NEPS_01,1,strongly disagree,1
NEPS_01,2,disagree,1
NEPS_01,3,slightly disagree,1
NEPS_01,4,neither agree nor disagree,1
NEPS_01,5,slightly agree,1
NEPS_01,6,agree,1
NEPS_01,7,strongly agree,1
NEPS_01,comment,New Ecological Paradigm Scale: We are approaching the limit of the number of people the earth can support,1
NEPS_01,class,avector,1
NEPS_01,class,numeric,2
NEPS_04,1,strongly disagree,1
NEPS_04,2,disagree,1
NEPS_04,3,slightly disagree,1
NEPS_04,4,neither agree nor disagree,1
NEPS_04,5,slightly agree,1
NEPS_04,6,agree,1
NEPS_04,7,strongly agree,1
NEPS_04,comment,New Ecological Paradigm Scale: Human ingenuity will insure that we do NOT make the earth unlivable,1
NEPS_04,class,avector,1
NEPS_04,class,numeric,2
NEPS_05,1,strongly disagree,1
NEPS_05,2,disagree,1
NEPS_05,3,slightly disagree,1
NEPS_05,4,neither agree nor disagree,1
NEPS_05,5,slightly agree,1
NEPS_05,6,agree,1
NEPS_05,7,strongly agree,1
NEPS_05,comment,New Ecological Paradigm Scale: Humans are severely abusing the environment,1
NEPS_05,class,avector,1
NEPS_05,class,numeric,2
NEPS_06,1,strongly disagree,1
NEPS_06,2,disagree,1
NEPS_06,3,slightly disagree,1
NEPS_06,4,neither agree nor disagree,1
NEPS_06,5,slightly agree,1
NEPS_06,6,agree,1
NEPS_06,7,strongly agree,1
NEPS_06,comment,New Ecological Paradigm Scale: The earth has plenty of natural resources if we just learn how to develop them,1
NEPS_06,class,avector,1
NEPS_06,class,numeric,2
NEPS_07,1,strongly disagree,1
NEPS_07,2,disagree,1
NEPS_07,3,slightly disagree,1
NEPS_07,4,neither agree nor disagree,1
NEPS_07,5,slightly agree,1
NEPS_07,6,agree,1
NEPS_07,7,strongly agree,1
NEPS_07,comment,New Ecological Paradigm Scale: Plants and animals have as much right as humans to exist,1
NEPS_07,class,avector,1
NEPS_07,class,numeric,2
NEPS_08,1,strongly disagree,1
NEPS_08,2,disagree,1
NEPS_08,3,slightly disagree,1
NEPS_08,4,neither agree nor disagree,1
NEPS_08,5,slightly agree,1
NEPS_08,6,agree,1
NEPS_08,7,strongly agree,1
NEPS_08,comment,New Ecological Paradigm Scale: The balance of nature is strong enough to cope with the impacts of modern industrial nations,1
NEPS_08,class,avector,1
NEPS_08,class,numeric,2
NEPS_09,1,strongly disagree,1
NEPS_09,2,disagree,1
NEPS_09,3,slightly disagree,1
NEPS_09,4,neither agree nor disagree,1
NEPS_09,5,slightly agree,1
NEPS_09,6,agree,1
NEPS_09,7,strongly agree,1
NEPS_09,comment,New Ecological Paradigm Scale: Despite our special abilities humans are still subject to the laws of nature,1
NEPS_09,class,avector,1
NEPS_09,class,numeric,2
NEPS_10,1,strongly disagree,1
NEPS_10,2,disagree,1
NEPS_10,3,slightly disagree,1
NEPS_10,4,neither agree nor disagree,1
NEPS_10,5,slightly agree,1
NEPS_10,6,agree,1
NEPS_10,7,strongly agree,1
NEPS_10,comment,"New Ecological Paradigm Scale: The so-called ""ecological crisis"" facing humankind has been greatly exaggerated",1
NEPS_10,class,avector,1
NEPS_10,class,numeric,2
NEPS_12,1,strongly disagree,1
NEPS_12,2,disagree,1
NEPS_12,3,slightly disagree,1
NEPS_12,4,neither agree nor disagree,1
NEPS_12,5,slightly agree,1
NEPS_12,6,agree,1
NEPS_12,7,strongly agree,1
NEPS_12,comment,New Ecological Paradigm Scale: Humans were meant to rule over the rest of nature,1
NEPS_12,class,avector,1
NEPS_12,class,numeric,2
NEPS_13,1,strongly disagree,1
NEPS_13,2,disagree,1
NEPS_13,3,slightly disagree,1
NEPS_13,4,neither agree nor disagree,1
NEPS_13,5,slightly agree,1
NEPS_13,6,agree,1
NEPS_13,7,strongly agree,1
NEPS_13,comment,New Ecological Paradigm Scale: The balance of nature is very delicate and easily upset,1
NEPS_13,class,avector,1
NEPS_13,class,numeric,2
HSQ_02,1,strongly disagree,1
HSQ_02,2,disagree,1
HSQ_02,3,slightly disagree,1
HSQ_02,4,neither agree nor disagree,1
HSQ_02,5,slightly agree,1
HSQ_02,6,agree,1
HSQ_02,7,strongly agree,1
HSQ_02,comment,"Humor Styles Questionnaire: If I am feeling depressed, I can usually cheer myself up with humor.",1
HSQ_02,class,avector,1
HSQ_02,class,numeric,2
HSQ_03,1,strongly disagree,1
HSQ_03,2,disagree,1
HSQ_03,3,slightly disagree,1
HSQ_03,4,neither agree nor disagree,1
HSQ_03,5,slightly agree,1
HSQ_03,6,agree,1
HSQ_03,7,strongly agree,1
HSQ_03,comment,"Humor Styles Questionnaire: If someone makes a mistake, I will often tease them about it.",1
HSQ_03,class,avector,1
HSQ_03,class,numeric,2
HSQ_04,1,strongly disagree,1
HSQ_04,2,disagree,1
HSQ_04,3,slightly disagree,1
HSQ_04,4,neither agree nor disagree,1
HSQ_04,5,slightly agree,1
HSQ_04,6,agree,1
HSQ_04,7,strongly agree,1
HSQ_04,comment,Humor Styles Questionnaire: I let people laugh at me or make fun at my expense more than I should.,1
HSQ_04,class,avector,1
HSQ_04,class,numeric,2
HSQ_06,1,strongly disagree,1
HSQ_06,2,disagree,1
HSQ_06,3,slightly disagree,1
HSQ_06,4,neither agree nor disagree,1
HSQ_06,5,slightly agree,1
HSQ_06,6,agree,1
HSQ_06,7,strongly agree,1
HSQ_06,comment,"Humor Styles Questionnaire: Even when I’m by myself, I’m often amused by the absurdities of life.",1
HSQ_06,class,avector,1
HSQ_06,class,numeric,2
HSQ_07,1,strongly disagree,1
HSQ_07,2,disagree,1
HSQ_07,3,slightly disagree,1
HSQ_07,4,neither agree nor disagree,1
HSQ_07,5,slightly agree,1
HSQ_07,6,agree,1
HSQ_07,7,strongly agree,1
HSQ_07,comment,Humor Styles Questionnaire: People are never offended or hurt by my sense of humor.,1
HSQ_07,class,avector,1
HSQ_07,class,numeric,2
HSQ_08,1,strongly disagree,1
HSQ_08,2,disagree,1
HSQ_08,3,slightly disagree,1
HSQ_08,4,neither agree nor disagree,1
HSQ_08,5,slightly agree,1
HSQ_08,6,agree,1
HSQ_08,7,strongly agree,1
HSQ_08,comment,Humor Styles Questionnaire: I will often get carried away in putting myself down if it makes my family or friends laugh.,1
HSQ_08,class,avector,1
HSQ_08,class,numeric,2
HSQ_09,1,strongly disagree,1
HSQ_09,2,disagree,1
HSQ_09,3,slightly disagree,1
HSQ_09,4,neither agree nor disagree,1
HSQ_09,5,slightly agree,1
HSQ_09,6,agree,1
HSQ_09,7,strongly agree,1
HSQ_09,comment,Humor Styles Questionnaire: I rarely make other people laugh by telling funny stories about myself.,1
HSQ_09,class,avector,1
